7/6/2022,17:18:31,750.6, 21.2, 78.0
7/6/2022,17:18:34,854.8, 21.2, 78.0
7/6/2022,17:18:37,773.0, 21.2, 78.0
7/6/2022,17:18:41,778.7, 21.2, 78.0
7/6/2022,17:18:44,801.6, 21.2, 78.0
7/6/2022,17:18:47,807.4, 21.2, 78.0
7/6/2022,17:18:50,801.6, 21.2, 78.0
7/6/2022,17:18:53,801.6, 21.2, 78.0
7/6/2022,17:18:56,801.6, 21.2, 78.0
7/6/2022,17:18:59,801.6, 21.2, 78.0
7/6/2022,17:19:2,801.6, 21.2, 78.0
7/6/2022,17:19:5,807.4, 21.2, 78.0
7/6/2022,17:19:8,756.2, 21.2, 78.0
7/6/2022,17:19:11,767.4, 21.2, 78.0
7/6/2022,17:19:14,767.4, 21.2, 78.0
7/6/2022,17:19:17,795.8, 21.2, 78.0
7/6/2022,17:19:20,801.6, 21.2, 78.0
7/6/2022,17:19:23,675.9, 21.2, 78.0
7/6/2022,17:19:26,801.6, 21.2, 78.0
7/6/2022,17:19:29,795.8, 21.2, 78.0
